adduser	3.137ubuntu1
libexif-dev:arm64	0.6.24-1ubuntu0.24.04.1
libexif-doc	0.6.24-1ubuntu0.24.04.1
libexif12:arm64	0.6.24-1ubuntu0.24.04.1
libexpat1:arm64	2.6.1-2ubuntu0.4
libexpat1-dev:arm64	2.6.1-2ubuntu0.4
libexpected-dev	1.1.0-2
libext2fs2t64:arm64	1.47.0-2.4~exp1ubuntu4.1
libfabric1:arm64	1.17.0-3build2
libfakeroot:arm64	1.33-1
libfastjson4:arm64	1.2304.0-1build1
libfcl-dev:arm64	0.7.0-3build2
libfcl0.7:arm64	0.7.0-3build2
libfdisk1:arm64	2.39.3-9ubuntu6.5
libfdt1:arm64	1.7.0-2build1
libffi-dev:arm64	3.4.6-1build1
libffi8:arm64	3.4.6-1build1
libfftw3-double3:arm64	3.3.10-1ubuntu3
libfido2-1:arm64	1.14.0-1build3
libfile-fcntllock-perl	0.22-4ubuntu5
libflac12t64:arm64	1.4.3+ds-2.1ubuntu2
libflann-dev:arm64	1.9.2+dfsg-2build1
libflann1.9:arm64	1.9.2+dfsg-2build1
libflashrom1:arm64	1.3.0-2.1ubuntu2
libflite1:arm64	2.2-6build3
libfmt-dev:arm64	9.1.0+ds1-2
libfmt9:arm64	9.1.0+ds1-2
libfontconfig1:arm64	2.15.0-1.1ubuntu2
libfontenc1:arm64	1:1.1.8-1build1
libfreeimage-dev:arm64	3.18.0+ds2-10build4
libfreeimage3:arm64	3.18.0+ds2-10build4
libfreetype-dev:arm64	2.13.2+dfsg-1ubuntu0.1
libfreetype6:arm64	2.13.2+dfsg-1ubuntu0.1
libfreexl-dev:arm64	2.0.0-1build2
libfreexl1:arm64	2.0.0-1build2
libfribidi0:arm64	1.0.13-3build1
libftdi1-2:arm64	1.5-6build5
libfuse3-3:arm64	3.14.0-5build1
libfwupd2:arm64	1.9.34-0ubuntu1~24.04.1
libfwupd3:arm64	2.0.20-1ubuntu2~24.04.2
